110.09,110.08,111.36,109.36
110.36,110.44,111.54,108.92
115.78,113.76,116.97,114.02
114.97,113.69,116.45,112.84
114.54,114.82,116.22,113.93
114.25,115.86,116.37,115.18
116.45,115.72,117.26,115.48
118.85,116.60,119.05,116.09
118.04,114.66,117.25,117.83
116.91,119.85,117.62,118.91
117.17,116.86,117.30,116.88
115.50,117.18,116.45,115.04
116.63,115.65,116.42,115.69
117.82,116.29,118.16,117.11
117.32,117.29,118.38,116.82
117.36,116.79,117.64,116.65
115.17,117.63,117.50,115.61
116.38,115.04,116.34,114.71
116.17,116.94,116.28,116.16
116.39,116.22,117.46,116.25
118.50,116.85,118.51,116.53
120.88,118.50,120.35,119.20
119.18,120.60,119.81,119.69
120.83,118.50,120.76,118.57
119.36,118.95,119.20,118.31
120.13,120.71,120.86,120.25
119.87,118.39,120.42,119.21
120.83,119.50,120.83,120.65
121.08,120.26,121.39,120.03
119.50,121.45,120.67,119.44
119.58,121.00,121.03,119.48
119.94,118.48,119.19,119.70
122.19,121.36,122.22,121.21
121.73,121.07,122.03,121.26
122.36,120.95,121.50,121.42
121.64,121.40,121.54,120.66
121.07,121.37,121.15,120.58
130.58,128.48,132.76,128.72
129.37,127.47,129.72,128.72
128.80,128.53,128.95,128.12
130.30,129.60,130.41,128.90
132.08,130.88,131.89,130.83
132.78,132.28,133.50,132.12
131.65,131.20,131.56,129.98
132.67,132.80,132.74,132.43
135.18,133.63,134.74,134.01
135.86,132.97,135.42,134.19
136.75,136.93,137.86,136.17
134.69,136.65,136.20,135.02
135.07,136.08,136.13,135.28
136.38,135.02,136.03,135.04
136.34,135.98,136.23,134.97
136.64,137.44,137.38,136.40
137.25,135.98,137.01,135.34
137.06,135.67,136.62,135.26
137.97,138.21,138.35,137.58
140.87,139.06,141.42,139.06
138.05,140.20,140.37,137.79
140.60,137.56,139.38,138.42
142.14,140.17,142.49,139.49
138.61,139.26,140.07,137.82
138.68,137.74,139.08,137.88
138.81,137.27,137.97,136.03
138.82,139.04,138.35,136.87
138.70,139.00,138.80,138.43
140.72,139.69,140.92,139.34
141.54,140.58,142.02,140.50
142.42,141.11,142.29,140.76
140.37,141.30,141.22,139.79
141.25,140.85,141.72,140.25
140.22,142.41,143.03,139.63
139.80,141.56,142.90,139.26
140.42,142.67,141.57,141.46
140.43,141.95,141.96,140.37
140.56,138.18,140.50,137.68
143.52,141.15,144.20,140.36
144.53,143.88,144.86,143.32
143.99,143.79,144.57,143.68
146.58,145.24,147.09,145.01
143.43,143.24,143.89,142.56
144.83,144.50,145.23,144.49
143.27,145.19,146.03,144.45
143.34,143.08,143.80,142.51
142.98,143.80,143.24,142.91
143.00,143.47,143.58,142.53
140.09,142.28,142.82,137.22
140.26,140.94,141.62,138.17
139.51,141.25,141.85,138.21
141.08,141.79,142.11,140.91
140.57,141.34,142.20,141.35
140.05,141.81,142.16,140.69
141.92,141.69,142.88,140.50
142.10,143.66,142.44,142.54
145.01,144.56,145.22,144.51
144.70,142.57,143.70,144.82
142.83,145.03,144.30,142.88
145.16,144.98,145.43,144.64
143.51,144.26,144.44,143.23
146.44,145.27,147.34,144.92
146.66,148.10,147.79,146.35
